"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "XML", "JSON", "TypeScript", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"e:\Web_Development\Project\deepseak\model\Chat.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"e:\Web_Development\Project\deepseak\model\User.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"e:\Web_Development\Project\deepseak\next.config.mjs", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"e:\Web_Development\Project\deepseak\package-lock.json", "JSON", 0, 0, 0, 0, 8545, 0, 0, 0, 0, 1, 8546
"e:\Web_Development\Project\deepseak\package.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"e:\Web_Development\Project\deepseak\postcss.config.mjs", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Web_Development\Project\deepseak\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Web_Development\Project\deepseak\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Web_Development\Project\deepseak\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Web_Development\Project\deepseak\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Web_Development\Project\deepseak\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 438, 23, 591, 267, 8580, 8, 7, 240, 29, 301, 10484
